#,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.17.0-git223552fa74', start_date='2023-05-31T13:52:12', checksum=1029362955, kind='mean', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.02,SA(0.025)-0.1,SA(0.025)-0.02,SA(0.05)-0.1,SA(0.05)-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(2.0)-0.1,SA(2.0)-0.02
-0.91011,-0.19920,6.855313E-02,1.038262E-01,7.275138E-02,1.101775E-01,8.697181E-02,1.313858E-01,1.343912E-01,2.012016E-01,1.733259E-01,2.620317E-01,1.072420E-01,1.676434E-01,5.667827E-02,9.191571E-02,2.702841E-02,4.582058E-02
-0.91011,0.25046,5.061263E-02,7.689100E-02,5.358325E-02,8.135632E-02,6.329389E-02,9.580228E-02,9.663723E-02,1.447655E-01,1.317174E-01,1.990091E-01,8.749019E-02,1.369986E-01,4.767534E-02,7.745533E-02,2.318909E-02,3.936003E-02
-0.91011,-0.28913,7.000220E-02,1.060186E-01,7.438567E-02,1.126524E-01,8.909763E-02,1.346242E-01,1.377369E-01,2.064824E-01,1.768265E-01,2.673781E-01,1.086770E-01,1.699145E-01,5.732195E-02,9.290324E-02,2.728627E-02,4.624318E-02
-0.91011,0.34040,4.629261E-02,7.037209E-02,4.894926E-02,7.440632E-02,5.773525E-02,8.748359E-02,8.796000E-02,1.318324E-01,1.215110E-01,1.836147E-01,8.232073E-02,1.288367E-01,4.535456E-02,7.353572E-02,2.215434E-02,3.756803E-02
-0.91011,-0.37906,7.037342E-02,1.066435E-01,7.480951E-02,1.133608E-01,8.967295E-02,1.356352E-01,1.386314E-01,2.080591E-01,1.776446E-01,2.687775E-01,1.089170E-01,1.703350E-01,5.740872E-02,9.305093E-02,2.731565E-02,4.629687E-02
-0.91011,0.43033,4.204200E-02,6.398544E-02,4.449045E-02,6.772421E-02,5.234421E-02,7.937641E-02,7.953051E-02,1.193510E-01,1.113844E-01,1.683733E-01,7.724565E-02,1.209009E-01,4.289537E-02,6.971510E-02,2.109916E-02,3.581134E-02
-0.91011,-0.46899,6.966354E-02,1.057580E-01,7.401272E-02,1.123804E-01,8.867125E-02,1.344170E-01,1.371675E-01,2.063212E-01,1.757834E-01,2.664141E-01,1.079964E-01,1.690327E-01,5.696198E-02,9.242094E-02,2.712687E-02,4.600693E-02
-0.91011,0.52026,3.801974E-02,5.793701E-02,4.018421E-02,6.121181E-02,4.712976E-02,7.156838E-02,7.146140E-02,1.073559E-01,1.018061E-01,1.539413E-01,7.212970E-02,1.129695E-01,4.054924E-02,6.587984E-02,2.008925E-02,3.410452E-02
-0.91011,-0.55893,6.791058E-02,1.034558E-01,7.209278E-02,1.098336E-01,8.620742E-02,1.311069E-01,1.332865E-01,2.011678E-01,1.714530E-01,2.605578E-01,1.060156E-01,1.661539E-01,5.602846E-02,9.108530E-02,2.673975E-02,4.540242E-02
-0.91010,0.61019,3.425624E-02,5.224289E-02,3.611813E-02,5.509823E-02,4.228234E-02,6.430862E-02,6.398394E-02,9.623351E-02,9.256559E-02,1.400121E-01,6.732452E-02,1.054296E-01,3.825543E-02,6.216136E-02,1.907610E-02,3.237409E-02
-0.91010,-0.64886,6.502134E-02,9.945593E-02,6.914064E-02,1.056836E-01,8.244396E-02,1.258045E-01,1.271582E-01,1.926031E-01,1.648798E-01,2.512002E-01,1.030261E-01,1.616536E-01,5.463341E-02,8.894762E-02,2.616355E-02,4.442004E-02
-0.91010,0.70012,3.069142E-02,4.687497E-02,3.236590E-02,4.944899E-02,3.782180E-02,5.762223E-02,5.711762E-02,8.601657E-02,8.390485E-02,1.269933E-01,6.261612E-02,9.812186E-02,3.603969E-02,5.865395E-02,1.810922E-02,3.076004E-02
-0.91010,-0.73879,6.129178E-02,9.395956E-02,6.503392E-02,9.973792E-02,7.752763E-02,1.186292E-01,1.193348E-01,1.810033E-01,1.563962E-01,2.385160E-01,9.880669E-02,1.555437E-01,5.281950E-02,8.593082E-02,2.535376E-02,4.308141E-02
-0.91009,-0.82872,5.688944E-02,8.737451E-02,6.038363E-02,9.265403E-02,7.165730E-02,1.097193E-01,1.099817E-01,1.669614E-01,1.460033E-01,2.228288E-01,9.398247E-02,1.477971E-01,5.061991E-02,8.238341E-02,2.440525E-02,4.149809E-02
-0.91009,-0.91865,5.227201E-02,8.023116E-02,5.531832E-02,8.495143E-02,6.553349E-02,1.003910E-01,1.003487E-01,1.522579E-01,1.353119E-01,2.063416E-01,8.881558E-02,1.395662E-01,4.819498E-02,7.857357E-02,2.339107E-02,3.978765E-02
-0.91009,-1.00859,4.751144E-02,7.293733E-02,5.031112E-02,7.726894E-02,5.948747E-02,9.100192E-02,9.077001E-02,1.375520E-01,1.241264E-01,1.890822E-01,8.332645E-02,1.309565E-01,4.576276E-02,7.441077E-02,2.233140E-02,3.793424E-02
-0.91008,-1.09852,4.295094E-02,6.592117E-02,4.548183E-02,6.974100E-02,5.352309E-02,8.185245E-02,8.146555E-02,1.233451E-01,1.133779E-01,1.725227E-01,7.806154E-02,1.224304E-01,4.323860E-02,7.036719E-02,2.124006E-02,3.609019E-02
-0.91007,-1.18845,3.866947E-02,5.932546E-02,4.084467E-02,6.261910E-02,4.796122E-02,7.332483E-02,7.281801E-02,1.101527E-01,1.032608E-01,1.568381E-01,7.272346E-02,1.141434E-01,4.081410E-02,6.639829E-02,2.020106E-02,3.433691E-02
-0.91007,-1.27838,3.466835E-02,5.311099E-02,3.656799E-02,5.605314E-02,4.284631E-02,6.548889E-02,6.489225E-02,9.809493E-02,9.350443E-02,1.419101E-01,6.779957E-02,1.062403E-01,3.848108E-02,6.254171E-02,1.917526E-02,3.255185E-02
-0.91006,-1.36832,3.095695E-02,4.742922E-02,3.265979E-02,5.005872E-02,3.818743E-02,5.836445E-02,5.769655E-02,8.717586E-02,8.455165E-02,1.282392E-01,6.296709E-02,9.872449E-02,3.622018E-02,5.896178E-02,1.819257E-02,3.089978E-02
-0.91006,-1.45825,2.759138E-02,4.228011E-02,2.911258E-02,4.462654E-02,3.397218E-02,5.191949E-02,5.120748E-02,7.734898E-02,7.638732E-02,1.157855E-01,5.855125E-02,9.174012E-02,3.414285E-02,5.544698E-02,1.728734E-02,2.933317E-02
-0.91005,-1.54818,2.455012E-02,3.763438E-02,2.590536E-02,3.970354E-02,3.014790E-02,4.604878E-02,4.536344E-02,6.852907E-02,6.888716E-02,1.043768E-01,5.423446E-02,8.506633E-02,3.199939E-02,5.220262E-02,1.631075E-02,2.776239E-02
-0.82018,-0.01933,7.394041E-02,1.121353E-01,7.869510E-02,1.192472E-01,9.395538E-02,1.419920E-01,1.449551E-01,2.170693E-01,1.860885E-01,2.817521E-01,1.140137E-01,1.789438E-01,5.998995E-02,9.736233E-02,2.845448E-02,4.832768E-02
-0.82018,0.07060,6.896548E-02,1.046237E-01,7.314283E-02,1.109418E-01,8.722869E-02,1.318784E-01,1.343348E-01,2.011080E-01,1.744922E-01,2.641803E-01,1.085166E-01,1.701037E-01,5.744365E-02,9.333279E-02,2.738952E-02,4.653647E-02
-0.82018,-0.10926,7.851917E-02,1.189959E-01,8.339058E-02,1.263670E-01,9.999666E-02,1.511227E-01,1.548504E-01,2.318373E-01,1.962710E-01,2.973674E-01,1.188331E-01,1.861102E-01,6.205016E-02,1.008763E-01,2.937197E-02,4.986810E-02
